In-Silico PCR Results Count,Sequence Length,Molecular Weight,nmol/A260,Micrograms/A260,Basic Tm,Salt Adjusted Tm,Nearest Neighbor Tm,A_Count,T_Count,G_Count,C_Count,GC Clamp,Self-Annealing,Hairpin Formation,Primer_Valid
1,20,6090.99,5.79,35.29,56,51,65.11,1,7,6,6,1,1,1,1
,20,6039.98,5.18,31.28,54,49,64.7,7,2,3,8,1,1,1,1
1,20,6133.04,5.28,32.38,54,49,65.1,4,5,6,5,1,1,1,1
,20,6039.98,5.18,31.28,54,49,64.7,7,2,3,8,1,1,1,1
1,20,6090.99,5.79,35.29,56,51,65.11,1,7,6,6,1,1,1,1
,20,6039.98,5.18,31.28,54,49,64.7,7,2,3,8,1,1,1,1
1,20,6133.04,5.28,32.38,54,49,65.1,4,5,6,5,1,1,1,1
,20,6039.98,5.18,31.28,54,49,64.7,7,2,3,8,1,1,1,1
1,20,6065.98,5.88,35.66,54,49,64.71,1,8,5,6,1,1,1,1
,20,6039.98,5.18,31.28,54,49,64.7,7,2,3,8,1,1,1,1
1,20,6238.11,5.04,31.46,56,51,64.91,4,4,9,3,1,1,1,1
,20,6240.13,4.85,30.25,54,49,64.42,7,2,8,3,1,1,1,1
1,20,6231.12,4.89,30.5,54,49,64.79,6,3,8,3,1,1,1,1
,20,6240.13,4.85,30.25,54,49,64.42,7,2,8,3,1,1,1,1
1,20,6238.11,5.04,31.46,56,51,64.91,4,4,9,3,1,1,1,1
,20,6118.02,5.35,32.73,56,51,65.63,4,4,6,6,1,1,1,1
1,20,6238.11,5.04,31.46,56,51,64.91,4,4,9,3,1,1,1,1
,20,6077.99,5.43,33.03,56,51,65.63,4,4,5,7,1,1,1,1
1,20,6238.11,5.04,31.46,56,51,64.91,4,4,9,3,1,1,1,1
,20,6305.17,4.62,29.14,56,51,65.76,7,1,10,2,1,1,1,1
1,20,6151.06,5.15,31.69,54,49,64.65,6,3,6,5,1,1,1,1
,20,6120.04,5,30.6,54,49,64.99,7,2,5,6,1,1,1,1
1,20,6151.06,5.15,31.69,54,49,64.65,6,3,6,5,1,1,1,1
,20,6087,5.31,32.29,56,51,65.06,5,3,5,7,1,1,1,1
1,20,6151.06,5.15,31.69,54,49,64.65,6,3,6,5,1,1,1,1
,20,6127.03,5.22,32.01,56,51,65.06,5,3,6,6,1,1,1,1
1,20,6151.06,5.15,31.69,54,49,64.65,6,3,6,5,1,1,1,1
